anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde.1;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde.1;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde.1;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term 11_en;anbefalt term 11_nn;anbefalt term 11_nb;tillatt term 11_nb;tillatt term 11_nn;tillatt term 11_en;frarådet term 11_nb;frarådet term 11_nn;frarådet term 11_en;definisjon 11_nb;definisjon 11_nn;definisjon 11_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 11_nb;definisjon for allmennheten 11_nn;definisjon for allmennheten 11_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 11_nb;definisjon for spesialister 11_nn;definisjon_for_spesialister11_en;egendefinert;;;merknad11_nb;merknad11_nn;merknad11_en;eksempel11_nb;eksempel11_nn;eksempel11_en;1;1;1;http://lenketilverdiomraade11.no;Tittel verdiområde 11;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 12_en;anbefalt term 12_nn;anbefalt term 12_nb;tillatt term 12_nb;tillatt term 12_nn;tillatt term 12_en;frarådet term 12_nb;frarådet term 12_nn;frarådet term 12_en;definisjon 12_nb;definisjon 12_nn;definisjon 12_en;egendefinert;;;definisjon for allmennheten 12_nb;definisjon for allmennheten 12_nn;definisjon for allmennheten 12_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 12_nb;definisjon for spesialister 12_nn;definisjon_for_spesialister12_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad12_nb;merknad12_nn;merknad12_en;eksempel12_nb;eksempel12_nn;eksempel12_en;40;40;40;http://lenketilverdiomraade12.no;Tittel verdiområde 12;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 13_en;anbefalt term 13_nn;anbefalt term 13_nb;tillatt term 13_nb;tillatt term 13_nn;tillatt term 13_en;frarådet term 13_nb;frarådet term 13_nn;frarådet term 13_en;definisjon 13_nb;definisjon 13_nn;definisjon 13_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 13_nb;definisjon for allmennheten 13_nn;definisjon for allmennheten 13_en;egendefinert;;;definisjon for spesialister 13_nb;definisjon for spesialister 13_nn;definisjon_for_spesialister13_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad13_nb;merknad13_nn;merknad13_en;eksempel13_nb;eksempel13_nn;eksempel13_en;18;18;18;http://lenketilverdiomraade13.no;Tittel verdiområde 13;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 14_en;anbefalt term 14_nn;anbefalt term 14_nb;tillatt term 14_nb;tillatt term 14_nn;tillatt term 14_en;frarådet term 14_nb;frarådet term 14_nn;frarådet term 14_en;definisjon 14_nb;definisjon 14_nn;definisjon 14_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 14_nb;definisjon for allmennheten 14_nn;definisjon for allmennheten 14_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 14_nb;definisjon for spesialister 14_nn;definisjon_for_spesialister14_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad14_nb;merknad14_nn;merknad14_en;eksempel14_nb;eksempel14_nn;eksempel14_en;26;26;26;http://lenketilverdiomraade14.no;Tittel verdiområde 14;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 15_en;anbefalt term 15_nn;anbefalt term 15_nb;tillatt term 15_nb;tillatt term 15_nn;tillatt term 15_en;frarådet term 15_nb;frarådet term 15_nn;frarådet term 15_en;definisjon 15_nb;definisjon 15_nn;definisjon 15_en;egendefinert;;;definisjon for allmennheten 15_nb;definisjon for allmennheten 15_nn;definisjon for allmennheten 15_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 15_nb;definisjon for spesialister 15_nn;definisjon_for_spesialister15_en;egendefinert;;;merknad15_nb;merknad15_nn;merknad15_en;eksempel15_nb;eksempel15_nn;eksempel15_en;1;1;1;http://lenketilverdiomraade15.no;Tittel verdiområde 15;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 16_en;anbefalt term 16_nn;anbefalt term 16_nb;tillatt term 16_nb;tillatt term 16_nn;tillatt term 16_en;frarådet term 16_nb;frarådet term 16_nn;frarådet term 16_en;definisjon 16_nb;definisjon 16_nn;definisjon 16_en;egendefinert;;;definisjon for allmennheten 16_nb;definisjon for allmennheten 16_nn;definisjon for allmennheten 16_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 16_nb;definisjon for spesialister 16_nn;definisjon_for_spesialister16_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad16_nb;merknad16_nn;merknad16_en;eksempel16_nb;eksempel16_nn;eksempel16_en;20;20;20;http://lenketilverdiomraade16.no;Tittel verdiområde 16;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 17_en;anbefalt term 17_nn;anbefalt term 17_nb;tillatt term 17_nb;tillatt term 17_nn;tillatt term 17_en;frarådet term 17_nb;frarådet term 17_nn;frarådet term 17_en;definisjon 17_nb;definisjon 17_nn;definisjon 17_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 17_nb;definisjon for allmennheten 17_nn;definisjon for allmennheten 17_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 17_nb;definisjon for spesialister 17_nn;definisjon_for_spesialister17_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad17_nb;merknad17_nn;merknad17_en;eksempel17_nb;eksempel17_nn;eksempel17_en;14;14;14;http://lenketilverdiomraade17.no;Tittel verdiområde 17;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 18_en;anbefalt term 18_nn;anbefalt term 18_nb;tillatt term 18_nb;tillatt term 18_nn;tillatt term 18_en;frarådet term 18_nb;frarådet term 18_nn;frarådet term 18_en;definisjon 18_nb;definisjon 18_nn;definisjon 18_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 18_nb;definisjon for allmennheten 18_nn;definisjon for allmennheten 18_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 18_nb;definisjon for spesialister 18_nn;definisjon_for_spesialister18_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad18_nb;merknad18_nn;merknad18_en;eksempel18_nb;eksempel18_nn;eksempel18_en;19;19;19;http://lenketilverdiomraade18.no;Tittel verdiområde 18;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 19_en;anbefalt term 19_nn;anbefalt term 19_nb;tillatt term 19_nb;tillatt term 19_nn;tillatt term 19_en;frarådet term 19_nb;frarådet term 19_nn;frarådet term 19_en;definisjon 19_nb;definisjon 19_nn;definisjon 19_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 19_nb;definisjon for allmennheten 19_nn;definisjon for allmennheten 19_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 19_nb;definisjon for spesialister 19_nn;definisjon_for_spesialister19_en;egendefinert;;;merknad19_nb;merknad19_nn;merknad19_en;eksempel19_nb;eksempel19_nn;eksempel19_en;30;30;30;http://lenketilverdiomraade19.no;Tittel verdiområde 19;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 20_en;anbefalt term 20_nn;anbefalt term 20_nb;tillatt term 20_nb;tillatt term 20_nn;tillatt term 20_en;frarådet term 20_nb;frarådet term 20_nn;frarådet term 20_en;definisjon 20_nb;definisjon 20_nn;definisjon 20_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 20_nb;definisjon for allmennheten 20_nn;definisjon for allmennheten 20_en;egendefinert;;;definisjon for spesialister 20_nb;definisjon for spesialister 20_nn;definisjon_for_spesialister20_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad20_nb;merknad20_nn;merknad20_en;eksempel20_nb;eksempel20_nn;eksempel20_en;35;35;35;http://lenketilverdiomraade20.no;Tittel verdiområde 20;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 21_en;anbefalt term 21_nn;anbefalt term 21_nb;tillatt term 21_nb;tillatt term 21_nn;tillatt term 21_en;frarådet term 21_nb;frarådet term 21_nn;frarådet term 21_en;definisjon 21_nb;definisjon 21_nn;definisjon 21_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 21_nb;definisjon for allmennheten 21_nn;definisjon for allmennheten 21_en;egendefinert;;;definisjon for spesialister 21_nb;definisjon for spesialister 21_nn;definisjon_for_spesialister21_en;egendefinert;;;merknad21_nb;merknad21_nn;merknad21_en;eksempel21_nb;eksempel21_nn;eksempel21_en;34;34;34;http://lenketilverdiomraade21.no;Tittel verdiområde 21;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 22_en;anbefalt term 22_nn;anbefalt term 22_nb;tillatt term 22_nb;tillatt term 22_nn;tillatt term 22_en;frarådet term 22_nb;frarådet term 22_nn;frarådet term 22_en;definisjon 22_nb;definisjon 22_nn;definisjon 22_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 22_nb;definisjon for allmennheten 22_nn;definisjon for allmennheten 22_en;egendefinert;;;definisjon for spesialister 22_nb;definisjon for spesialister 22_nn;definisjon_for_spesialister22_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad22_nb;merknad22_nn;merknad22_en;eksempel22_nb;eksempel22_nn;eksempel22_en;27;27;27;http://lenketilverdiomraade22.no;Tittel verdiområde 22;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
